Model,CPU_T_mean_overall_mean,CPU_T_mean_overall_min,CPU_T_mean_overall_max,ObjVal_mean_overall_mean,ObjVal_mean_overall_min,ObjVal_mean_overall_max,Improve_ObjVal_mean_overall_mean,Improve_ObjVal_mean_overall_min,Improve_ObjVal_mean_overall_max
MEG,46.78189167,4.1548,202.7095,46689232.03,23679648.96,109394766.9,25.04702681,17.16606946,36.20106344
MEG-NoLink,229.6138833,7.4276,854.42205,46689231.86,23679648.95,109394766,25.0470266,17.16606941,36.20106344
TUC-SSC1,86.12835833,5.13745,387.05045,47605001.75,23833884.19,114582351.2,26.20250933,17.92921995,36.43535056
TUC-SSC2,58.3678,4.59215,252.30135,47643756.97,23836370.13,114812030.5,26.24631539,17.94152034,36.43581891
TUC-SSC2-NoLink,217.6304,8.36905,674.8502,47643756.87,23836370.1,114812030,26.2463152,17.94152018,36.43581891
UC-SSC,318.4365333,7.80825,1750.4032,37814956.88,20210329.72,92142662.43,0,0,0
