Model,CPU_T_mean,ObjVal_mean
MEG,46.78189166666667,46689232.02608333
MEG-NoLink,229.61388333333332,46689231.8605
TUC-SSC1,86.12835833333334,47605001.75125
TUC-SSC2,58.36780000000001,47643756.97275
TUC-SSC2-NoLink,217.6304,47643756.87025001
UC-SSC,318.43653333333333,37814956.87966666
