Model,CPU_T_mean,RootRelax_Val_mean
MEG,2211.849225,46747580.333333336
MEG-NoLink,3148.147391666667,46699643.083333336
TUC-SSC1,1709.8293333333331,47725125.25
TUC-SSC2,1699.1121250000003,47759909.5
TUC-SSC2-NoLink,2556.319575,47643970.166666664
UC-SSC,3435.7329899999995,39559005.141666666
