Model,MEG,MEG-NoLink,TUC-SSC1,TUC-SSC2,TUC-SSC2-NoLink,UC-SSC
,Nodes,Nodes,Nodes,Nodes,Nodes,Nodes
System,,,,,,
1,19.3,26.0,11.55,17.75,7.6,88.6
2,1487.7,1097.6,646.7,918.65,523.7,2158.0
3,601.9,390.75,133.25,140.05,56.8,1482.35
4,1108.45,521.2,921.7,709.1,533.15,1892.7
5,6379.65,2836.35,5525.6,4953.5,4596.5,4086.15
6,126924.3,97823.4,176632.3,240008.35,263719.2,470.0
