,MEG,MEG-NoLink,TUC-SSC1,TUC-SSC2,TUC-SSC2-NoLink,UC-SSC
FirstFeasibleGap,0.0824025,0.06339916666666666,0.03783416666666666,0.03318666666666666,0.0586375,0.323307
FirstFeasibleTime,152.64166666666668,754.5333333333333,98.25,88.3,219.175,366.24
