,Fastest_Count,Fastest_Count,Fastest_Count,Fastest_Count,Fastest_Count,Fastest_Count,Unique_Wins,Unique_Wins,Unique_Wins,Unique_Wins,Unique_Wins,Unique_Wins,Avg_Nodes,Avg_Nodes,Avg_Nodes,Avg_Nodes,Avg_Nodes,Avg_Nodes
Model,MEG,MEG-NoLink,TUC-SSC1,TUC-SSC2,TUC-SSC2-NoLink,UC-SSC,MEG,MEG-NoLink,TUC-SSC1,TUC-SSC2,TUC-SSC2-NoLink,UC-SSC,MEG,MEG-NoLink,TUC-SSC1,TUC-SSC2,TUC-SSC2-NoLink,UC-SSC
System,,,,,,,,,,,,,,,,,,
1,20.0,0.0,20.0,20.0,8.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,19.3,26.0,11.55,17.75,7.6,88.6
2,6.0,0.0,12.0,18.0,0.0,0.0,2.0,0.0,2.0,16.0,0.0,0.0,1487.7,1097.6,646.7,918.65,523.7,2158.0
3,14.0,0.0,20.0,20.0,0.0,0.0,2.0,0.0,7.0,11.0,0.0,0.0,601.9,390.75,133.25,140.05,56.8,1482.35
4,9.0,0.0,7.0,14.0,0.0,0.0,4.0,0.0,5.0,11.0,0.0,0.0,1108.45,521.2,921.7,709.1,533.15,1892.7
5,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,6097.0526315789475,3898.6666666666665,5525.6,4953.5,4538.428571428572,4831.285714285715
6,1.0,0.0,3.0,9.0,2.0,0.0,1.0,0.0,3.0,9.0,2.0,0.0,55751.545454545456,21081.3,64465.0,107859.78571428571,10208.09090909091,
