Model,Solved_Count,Total_Days,Success_Rate
MEG,110,120,0.9166666666666666
MEG-NoLink,93,120,0.775
TUC-SSC1,113,120,0.9416666666666667
TUC-SSC2,114,120,0.95
TUC-SSC2-NoLink,105,120,0.875
UC-SSC,87,120,0.725
