,MEG,MEG-NoLink,TUC-SSC1,TUC-SSC2,TUC-SSC2-NoLink,UC-SSC
Rows,394568.8333,377496.8333,394600.5,394568.8333,377496.8333,445816.5
Columns,239008,221936,221936,239008,239008,221936
Nonzeros,31007178,328383100.7,31862003.67,31893622.83,301893592.5,31602876.67
ContVars,187792,170720,170720,187792,170720,170720
IntVars,51216,51216,51216,51216,51216,51216
