Model,MEG,MEG-NoLink,TUC-SSC1,TUC-SSC2,TUC-SSC2-NoLink,UC-SSC
,RootRelax_Val,RootRelax_Val,RootRelax_Val,RootRelax_Val,RootRelax_Val,RootRelax_Val
System,,,,,,
1,32447725.5,32447251.5,32455764.0,32455764.0,32455764.0,28233626.0
2,23995052.0,23720239.0,24529047.0,24531040.0,23837086.0,21716211.35
3,39789754.5,39789380.5,39845617.0,39845615.5,39845615.5,33496746.5
4,41586475.0,41584149.0,41610031.0,41610193.0,41610175.5,32890350.0
5,33246320.0,33249073.5,33303782.5,33304319.5,33302710.0,28119985.5
6,109420155.0,109407765.0,114606510.0,114812525.0,114812470.0,92897111.5
