Model,p_range,p_range,p_range,p_range,ramp,ramp,ramp,ramp,seg_p,seg_p,seg_p,seg_p,seg_range,seg_range,seg_range,seg_range
,BB,Presolve,RootRelax,Total,BB,Presolve,RootRelax,Total,BB,Presolve,RootRelax,Total,BB,Presolve,RootRelax,Total
System,,,,,,,,,,,,,,,,
S1,59.061,1.535,7.3855,59.07585,69.5885,2.435,8.6465,69.60035,25.843,2.0685,4.532,25.854599999999998,40.64,3.6689999999999996,11.937999999999999,40.6556
S2,202.9015,2.327,10.731,202.9186,256.9855,3.8445,12.412,257.00305,166.991,3.1985,8.144,167.0097,176.4985,5.61,19.8295,176.52015
S3,379.18,2.2809999999999997,9.897,379.19495,813.678,3.7895000000000003,14.1625,813.6967,75.914,3.158,3.571,75.93225,154.4425,6.255,16.636000000000003,154.46224999999998
S4,1961.3815,5.8995,40.777499999999996,1961.41285,4991.2585,9.4605,87.666,4991.29645,354.688,7.616499999999999,11.75,354.7165,1055.958,12.758,101.1605,1056.0363
